date,open,high,low,close,volume,average,barCount,hours,minutes,hours + minutes,Day_of_week,Resistance,Support,RSI,macd,macdsignal,macdhist,macd - macdsignal,MA_9,MA_26,MA_200,EMA_9,EMA_26,EMA_21,derv_1,EMA_50,EMA_200,ATR,roll_max_cp,roll_min_cp,roll_max_vol,vol/max_vol,EMA_9-EMA_26,EMA_200-EMA_50,B_upper,B_middle,B_lower,ES_C_close,ES_P_close
2020-10-27 01:19:00,3400.5,3400.5,3400.0,3400.0,148.0,3400.125,74.0,1.0,19.0,119.0,1.0,3444.7776554087127,3386.066659690247,35.83330817895131,-0.26116410821168756,-0.12014503686898266,-0.14101907134270492,-0.14101907134270492,3401.222222222222,3401.5576923076924,3398.04,3400.993524839102,3401.3748667262034,3401.333568466831,-0.19854308879803284,3401.0236587638756,3398.04,0.745901839846269,3404.0,3400.0,410.0,0.36097560975609755,-0.38134188710137096,-2.98365876387561,3402.151803214918,3401.029305999815,3399.9068087847118,114.125,9.0
2020-10-27 01:20:00,3400.0,3400.75,3400.0,3400.25,155.0,3400.275,62.0,1.0,20.0,120.0,1.0,3444.7334801762113,3386.0167434072832,38.97388265238608,-0.31071797285630964,-0.15825962406644806,-0.1524583487898616,-0.1524583487898616,3401.0555555555557,3401.480769230769,3398.06125,3400.8448198712817,3401.2915432650034,3401.2350622425733,-0.10883447103833532,3400.9933192045078,3398.0619900497513,0.7461945655715355,3402.75,3400.0,410.0,0.3780487804878049,-0.4467233937216406,-2.9313291547564404,3401.5739553952712,3400.761551552423,3399.949147709575,114.25,9.0
2020-10-27 01:21:00,3400.25,3401.0,3399.5,3400.5,275.0,3400.325,106.0,1.0,21.0,121.0,1.0,3444.6893049437103,3385.96682712432,42.029447933401244,-0.326058260280206,-0.19181935130919964,-0.13423890897100638,-0.13423890897100638,3400.9166666666665,3401.423076923077,3398.08375,3400.7758558970254,3401.2329104305586,3401.1682384023393,-0.06206757683071373,3400.9739733533506,3398.0862488552266,0.8000378108878544,3402.0,3399.5,275.0,1.0,-0.4570545335332099,-2.8877244981240437,3401.267814032004,3400.5607072508174,3399.8536004696307,114.625,9.0
2020-10-27 01:22:00,3400.5,3400.75,3400.0,3400.5,42.0,3400.45,24.0,1.0,22.0,122.0,1.0,3444.645129711209,3385.916910841356,42.02944793340124,-0.3343612403386942,-0.22032772911509854,-0.11403351122359565,-0.11403351122359565,3400.777777777778,3401.355769230769,3398.0975,3400.7206847176203,3401.1786207690357,3401.1074894566723,0.05034593853542901,3400.9553861630234,3398.110266279553,0.7964636815387219,3402.0,3399.5,275.0,0.15272727272727274,-0.457936051415345,-2.8451198834704883,3400.9466037184993,3400.4367017691857,3399.926799819872,114.5,9.0
2020-10-27 01:23:00,3400.75,3401.75,3400.75,3401.5,172.0,3401.4,74.0,1.0,23.0,123.0,1.0,3444.600954478708,3385.8669945583924,52.95653671021775,-0.25728395986743635,-0.22771897526556611,-0.029564984601870237,-0.029564984601870237,3400.8055555555557,3401.3076923076924,3398.11875,3400.8765477740963,3401.202426637996,3401.1431722333386,0.09027675082825226,3400.976743568395,3398.1439949732885,0.8288591328573846,3402.0,3399.5,275.0,0.6254545454545455,-0.3258788638995611,-2.8327485951062954,3401.5114050151533,3400.491601116526,3399.4717972178987,115.375,8.75
2020-10-27 01:24:00,3401.5,3401.75,3400.75,3401.0,206.0,3401.15,62.0,1.0,24.0,124.0,1.0,3444.5567792462066,3385.817078275429,48.07689296570757,-0.23384980610944694,-0.22894514143434228,-0.00490466467510467,-0.00490466467510467,3400.722222222222,3401.25,3398.13875,3400.901238219277,3401.187432072218,3401.1301565757626,0.04722140066269276,3400.9776555853205,3398.172412933753,0.8410834805104285,3402.0,3399.5,275.0,0.7490909090909091,-0.2861938529413237,-2.8052426515673687,3401.5044357206875,3400.6100085313537,3399.71558134202,114.75,9.0
2020-10-27 01:25:00,3401.0,3401.75,3401.0,3401.25,54.0,3401.325,24.0,1.0,25.0,125.0,1.0,3444.512604013705,3385.7671619924654,50.53133844041528,-0.19288173913582796,-0.22173246097463942,0.02885072183881146,0.02885072183881146,3400.75,3401.1634615384614,3398.15625,3400.9709905754216,3401.1920667335353,3401.1410514325116,0.037777120530336106,3400.9883357584454,3398.203035690631,0.8345775176168264,3402.0,3399.5,275.0,0.19636363636363635,-0.22107615811364667,-2.7853000678142052,3401.5627565789932,3400.762756573964,3399.9627565689348,115.25,8.875
2020-10-27 01:26:00,3401.5,3401.5,3400.75,3401.0,59.0,3401.025,32.0,1.0,26.0,126.0,1.0,3444.4684287812042,3385.717245709502,48.083549762577675,-0.17852918821154162,-0.21309180642201986,0.034562618210478235,0.034562618210478235,3400.75,3401.105769230769,3398.17375,3400.9767924603375,3401.177839568088,3401.128228575011,0.005221696424086986,3400.988793179683,3398.2308661812717,0.8285362663584817,3402.0,3399.5,275.0,0.21454545454545454,-0.20104710775058265,-2.7579269984112216,3401.5497526467634,3400.8864276904897,3400.223102734216,114.875,8.875
2020-10-27 01:27:00,3401.0,3401.0,3400.75,3401.0,50.0,3400.875,24.0,1.0,27.0,127.0,1.0,3444.424253548703,3385.6673294265383,48.08354976257767,-0.1652497914678861,-0.2035234034311931,0.038273611963307,0.038273611963307,3400.777777777778,3401.1153846153848,3398.19125,3400.98143396827,3401.164666266748,3401.116571431828,-0.02082264286082136,3400.989232662833,3398.258419751607,0.7872122473328759,3402.0,3399.5,275.0,0.18181818181818182,-0.1832322984782877,-2.730812911225712,3401.368460354316,3400.9684603494734,3400.5684603446307,115.0,8.875
2020-10-27 01:28:00,3401.0,3401.0,3400.75,3400.75,28.0,3400.95,21.0,1.0,28.0,128.0,1.0,3444.380078316202,3385.6174131435746,45.52590025842287,-0.17290553713655754,-0.19739983017226598,0.024494293035708437,0.024494293035708437,3400.8611111111113,3401.125,3398.2125,3400.935147174616,3401.133950246989,3401.0832467562072,-0.09165811428852066,3400.9798509897805,3398.2832115948745,0.7488399439519562,3402.0,3399.5,275.0,0.10181818181818182,-0.19880307237326633,-2.696639394906015,3401.3019247573498,3400.985696988977,3400.6694692206042,114.875,9.0
